,O3,NO,NO2,NOX,SO2,CO,PM10
34240,0.036,0.01,0.022,0.032,0.002,0.922,58.1
34241,0.04,0.004,0.018,0.022,0.002,0.874,52.2
34242,0.027,0.009,0.044,0.052,0.003,1.256,69.3
34243,0.003,0.061,0.065,0.124,0.005,2.325,141.4
34244,0.002,0.15,0.056,0.205,0.006,3.881,160.8
34245,0.002,0.22,0.055,0.275,0.008,5.148,204.1
34246,0.002,0.29,0.069,0.358,0.011,5.392,197.1
34247,0.001,0.477,0.08,0.523,0.014,7.571,284.2
34248,0.002,0.422,0.071,0.465,0.012,6.626,334.2
34249,0.001,0.161,0.055,0.216,0.006,2.898,325.1
34250,0.001,0.249,0.052,0.3,0.008,4.339,301.9
34251,0.001,0.155,0.043,0.197,0.005,2.999,216.3
34252,0.001,0.12,0.04,0.16,0.005,2.352,180
34253,0.001,0.017,0.035,0.051,0.002,0.983,113.3
34254,0.001,0.019,0.035,0.054,0.002,0.918,73.2
34255,0.001,0.062,0.036,0.098,0.003,1.35,86.3
34256,0.002,0.074,0.038,0.111,0.003,1.473,133.2
34257,0.003,0.079,0.041,0.118,0.004,1.7,132.5
34258,0.008,0.04,0.035,0.074,0.003,1.135,121.2
34259,0.023,0.016,0.026,0.042,0.002,0.713,105.7
34260,0.032,0.016,0.032,0.047,0.002,0.702,102
34261,0.044,0.01,0.03,0.039,0.002,0.618,106.1
34262,0.054,0.008,0.038,0.045,0.002,0.784,97.1
34263,0.061,0.007,0.037,0.043,0.002,0.902,103.6
34264,0.044,0.005,0.024,0.029,0.001,0.678,91.7
34265,0.035,0.006,0.018,0.023,0.001,0.345,67.1
34266,0.033,0.003,0.025,0.028,0.001,0.55,54.5
34267,0.019,0.005,0.042,0.046,0.002,0.844,80.3
34268,0.006,0.016,0.053,0.069,0.003,1.241,74.1
34269,0.002,0.04,0.05,0.089,0.003,1.4,72.9
34270,0.001,0.087,0.049,0.135,0.005,1.874,77.8
34271,0.001,0.115,0.046,0.161,0.005,2.37,81.2
34272,0.002,0.25,0.043,0.293,0.007,5.928,139
34273,0.001,0.209,0.042,0.251,0.007,4.411,195
34274,0.001,0.181,0.038,0.218,0.006,4.174,136.6
34275,0.001,0.226,0.035,0.261,0.006,4.321,154.2
34276,0.001,0.177,0.037,0.214,0.006,3.344,179.9
34277,0.001,0.093,0.037,0.129,0.004,2.199,138
34278,0.002,0.153,0.032,0.184,0.005,2.992,140.8
34279,0.001,0.144,0.031,0.175,0.005,2.973,128.6
34280,0.002,0.18,0.038,0.218,0.006,3.029,144.2
34281,0.002,0.181,0.053,0.234,0.007,3.527,173.3
34282,0.01,0.052,0.054,0.106,0.004,2.054,150.5
34283,0.021,0.03,0.063,0.092,0.004,1.83,118.8
34284,0.035,0.013,0.041,0.054,0.003,1.325,117.4
34285,0.044,0.004,0.017,0.02,0.002,0.691,75.1
34286,0.052,0.003,0.015,0.017,0.002,0.637,48.1
34287,0.057,0.002,0.016,0.018,0.002,0.653,50.1
34288,0.062,0.001,0.018,0.019,0.001,0.671,43.9
34289,0.039,0.003,0.015,0.017,0.001,0.566,39.6
34290,0.029,0.004,0.022,0.026,0.001,0.644,20.5
34291,0.006,0.044,0.05,0.093,0.003,1.637,37.8
34292,0.002,0.092,0.053,0.144,0.004,2.159,68.5
34293,0.002,0.126,0.053,0.179,0.007,2.764,72.5
34294,0.001,0.09,0.047,0.136,0.005,2.38,95.5
34295,0.001,0.146,0.043,0.188,0.005,3.482,108.7
34296,0.001,0.155,0.042,0.196,0.006,3.941,118.3
34297,0.001,0.165,0.042,0.206,0.006,3.296,127.3
34298,0.001,0.185,0.037,0.221,0.006,3.342,132.5
34299,0.001,0.195,0.035,0.23,0.006,3.346,120.7
34300,0.001,0.174,0.031,0.204,0.005,2.983,100.8
34301,0.001,0.166,0.035,0.2,0.005,2.42,98.5
34302,0.001,0.165,0.031,0.196,0.005,2.335,96.8
34303,0.001,0.135,0.036,0.171,0.005,2.206,111.1
34304,0.001,0.203,0.038,0.24,0.006,3.557,112.2
34305,0.004,0.081,0.037,0.118,0.004,2.086,134.6
34306,0.011,0.033,0.031,0.063,0.003,1.142,108.2
34307,0.022,0.013,0.021,0.033,0.002,0.792,109.8
34308,0.03,0.009,0.018,0.026,0.001,0.683,101.6
34309,0.035,0.005,0.015,0.019,0.001,0.579,78.3
34310,0.035,0.007,0.017,0.024,0.001,0.628,65.5
34311,0.039,0.005,0.014,0.018,0.001,0.553,61.1
34312,0.034,0.007,0.017,0.024,0.001,0.598,63.9
34313,0.027,0.013,0.022,0.035,0.002,0.682,85.3
34314,0.007,0.063,0.058,0.12,0.005,1.566,122
34315,0.002,0.159,0.063,0.221,0.007,4.336,185.8
34316,0.001,0.186,0.055,0.241,0.009,4.073,195.2
34317,0.002,0.266,0.062,0.327,0.012,5.203,163
34318,0.002,0.286,0.058,0.344,0.013,5.388,184.1
34319,0.002,0.335,0.051,0.386,0.011,6.288,233.6
34320,0.004,0.246,0.047,0.292,0.009,4.575,302.6
34321,0.004,0.018,0.034,0.052,0.003,1.17,154.7
34322,0.001,0.014,0.031,0.045,0.002,0.941,66.2
34323,0.005,0.004,0.02,0.021,0.002,0.607,39.2
34324,0.013,0.003,0.011,0.009,0.002,0.419,40.6
34325,0.013,0.004,0.011,0.01,0.002,0.418,37.5
34326,0.01,0.004,0.016,0.016,0.002,0.47,40.5
34327,0.006,0.007,0.023,0.03,0.002,0.785,52.6
34328,0.007,0.017,0.028,0.045,0.002,1.038,93.5
34329,0.01,0.022,0.027,0.049,0.002,1.04,116.2
34330,0.016,0.015,0.02,0.035,0.002,0.936,110.5
34331,0.021,0.01,0.014,0.024,0.002,0.782,96
34332,0.025,0.009,0.014,0.021,0.002,0.655,88.3
34333,0.033,0.007,0.013,0.02,0.002,0.712,76.7
34334,0.033,0.008,0.014,0.02,0.002,0.678,69.9
34335,0.038,0.005,0.014,0.018,0.001,0.722,58.3
34336,0.038,0.006,0.016,0.021,0.001,0.644,67.6
34337,0.042,0.003,0.018,0.02,0.001,0.896,66.9
34338,0.034,0.005,0.03,0.035,0.002,1.08,71.8
34339,0.004,0.039,0.074,0.112,0.004,2.498,109.9
34340,0.001,0.138,0.078,0.216,0.007,3.512,187.9
34341,0.001,0.167,0.085,0.251,0.011,4.272,231.8
34342,0.001,0.069,0.071,0.139,0.007,2.524,203.5
34343,0.001,0.109,0.061,0.17,0.007,3.218,168.8
34344,0.001,0.174,0.057,0.23,0.007,4.599,197.3
34345,0.001,0.209,0.053,0.261,0.007,4.858,192.2
34346,0.002,0.287,0.047,0.334,0.008,5.893,184.7
34347,0.001,0.121,0.042,0.162,0.005,2.874,181.2
34348,0.006,0.001,0.026,0.026,0.002,0.665,106
34349,0.007,0.001,0.024,0.023,0.002,0.66,64.1
34350,0.007,0.001,0.024,0.024,0.002,0.564,54.9
34351,0.002,0.059,0.034,0.093,0.003,1.2,52.4
34352,0.001,0.072,0.031,0.103,0.004,1.854,122
34353,0.005,0.043,0.024,0.067,0.003,1.363,133.6
34354,0.012,0.017,0.02,0.037,0.002,0.867,89.9
34355,0.018,0.014,0.018,0.031,0.002,0.707,68.6
34356,0.021,0.013,0.021,0.034,0.002,0.849,76.4
34357,0.03,0.009,0.019,0.028,0.002,0.694,83.1
34358,0.039,0.005,0.019,0.024,0.002,0.838,77.5
34359,0.046,0.006,0.021,0.026,0.002,0.811,78.4
34360,0.044,0.006,0.023,0.029,0.001,0.875,79.5
34361,0.048,0.003,0.025,0.028,0.002,0.731,89.1
34362,0.034,0.01,0.041,0.05,0.002,1.006,83.2
34363,0.005,0.115,0.086,0.2,0.006,2.276,102.4
34364,0.001,0.179,0.087,0.266,0.009,3.86,171
34365,0.002,0.309,0.091,0.397,0.011,4.88,228.1
34366,0.002,0.303,0.078,0.381,0.01,6.143,319.9
34367,0.001,0.28,0.071,0.35,0.015,5.812,432.4
34368,0.001,0.265,0.068,0.332,0.013,5.263,344.5
34369,0.001,0.306,0.063,0.368,0.01,6.291,320.8
34370,0.001,0.182,0.059,0.24,0.007,4.146,298.1
34371,0.001,0.162,0.059,0.22,0.006,3.107,209.1
34372,0.001,0.154,0.054,0.208,0.006,2.542,174.3
34373,0.001,0.088,0.045,0.133,0.005,1.994,169.6
34374,0.002,0.012,0.035,0.047,0.003,0.882,120.7
34375,0.001,0.018,0.035,0.053,0.003,0.978,84.3
34376,0.001,0.201,0.044,0.245,0.006,3.162,134.1
34377,0.002,0.164,0.046,0.209,0.007,2.934,200.4
34378,0.012,0.025,0.025,0.05,0.003,0.97,154.2
34379,0.018,0.017,0.03,0.047,0.003,0.809,99.9
34380,0.028,0.012,0.031,0.043,0.003,0.835,102.1
34381,0.04,0.009,0.03,0.039,0.002,0.907,106.7
34382,0.046,0.012,0.038,0.05,0.002,0.918,107.6
34383,0.049,0.005,0.023,0.028,0.002,0.737,110.5
34384,0.049,0.018,0.036,0.053,0.001,0.671,99.2
34385,0.049,0.015,0.036,0.05,0.001,0.795,119.8
34386,0.042,0.017,0.046,0.063,0.002,0.878,114.6
34387,0.011,0.042,0.101,0.142,0.004,2.315,116.7
34388,0.002,0.173,0.114,0.287,0.012,4.2,198.2
34389,0.001,0.124,0.086,0.21,0.009,3.496,212.4
34390,0.001,0.121,0.076,0.197,0.009,3.102,159.9
34391,0.001,0.118,0.07,0.188,0.009,3.242,155.3
34392,0.001,0.162,0.073,0.234,0.008,3.391,192.3
34393,0.001,0.144,0.063,0.206,0.006,3.285,209
34394,0.001,0.061,0.051,0.112,0.004,1.87,174.5
34395,0.001,0.183,0.049,0.232,0.006,3.707,149.3
34396,0.001,0.093,0.047,0.14,0.005,2.199,145.2
34397,0.003,0.005,0.045,0.049,0.005,0.836,121
34398,0.002,0.009,0.045,0.054,0.005,1,119.8
34399,0.001,0.119,0.044,0.162,0.008,2.561,153.1
34400,0.001,0.236,0.043,0.279,0.008,4.506,215.7
34401,0.001,0.266,0.068,0.333,0.012,5.438,236.5
34402,0.01,0.043,0.051,0.093,0.005,1.893,218.5
34403,0.016,0.037,0.055,0.09,0.004,1.577,162.8
34404,0.029,0.018,0.036,0.052,0.003,1.031,152.7
34405,0.039,0.005,0.022,0.027,0.003,0.741,130.5
34406,0.043,0.012,0.027,0.039,0.003,1.068,102.7
34407,0.049,0.007,0.027,0.034,0.002,0.921,145.8
34408,0.052,0.014,0.03,0.044,0.002,0.827,122.8
34409,0.054,0.002,0.027,0.029,0.002,0.814,104.4
34410,0.029,0.014,0.045,0.059,0.003,1.145,125
34411,0.007,0.028,0.055,0.083,0.004,1.742,134.1
34412,0.002,0.048,0.053,0.1,0.005,1.907,126
34413,0.001,0.057,0.049,0.106,0.007,1.975,107.9
34414,0.001,0.107,0.049,0.156,0.01,2.822,111.4
34415,0.001,0.113,0.052,0.165,0.011,2.953,117.9
34416,0.001,0.161,0.048,0.209,0.008,3.45,179.8
34417,0.001,0.178,0.043,0.22,0.008,3.747,188.9
34418,0.001,0.193,0.039,0.232,0.007,4.005,145.3
34419,0.001,0.181,0.039,0.22,0.006,4.049,175.9
34420,0.001,0.119,0.039,0.158,0.005,3,177.7
34421,0.001,0.105,0.039,0.144,0.004,2.417,146.6
34422,0.001,0.105,0.038,0.143,0.004,2.206,137.4
34423,0.001,0.058,0.042,0.099,0.004,1.882,147.6
34424,0.001,0.051,0.043,0.093,0.003,1.667,155.4
34425,0.003,0.04,0.039,0.079,0.003,1.53,151.6
34426,0.009,0.029,0.035,0.063,0.003,1.269,127.1
34427,0.021,0.011,0.024,0.035,0.003,0.972,110.6
34428,0.031,0.006,0.016,0.022,0.003,0.663,90.7
34429,0.036,0.008,0.02,0.027,0.003,0.724,106
34430,0.042,0.007,0.018,0.024,0.002,0.783,106
34431,0.043,0.008,0.017,0.023,0.001,0.744,96.3
34432,0.04,0.005,0.017,0.021,0.001,0.7,75.6
34433,0.037,0.003,0.017,0.019,0.001,0.595,69.1
34434,0.033,0.003,0.022,0.026,0.001,0.934,71.4
34435,0.005,0.062,0.056,0.118,0.006,2.395,109.5
34436,0.002,0.223,0.056,0.279,0.007,5.712,212.5
34437,0.002,0.341,0.058,0.399,0.008,7.31,273.5
34438,0.002,0.511,0.057,0.534,0.008,10.413,266.4
34439,0.001,0.505,0.056,0.519,0.009,11.651,383.7
34440,0.001,0.275,0.049,0.324,0.01,6.548,377.1
34441,0.002,0.043,0.042,0.085,0.004,1.728,244.9
34442,0.005,0.003,0.033,0.035,0.002,0.791,125.2
34443,0.006,0.003,0.027,0.028,0.002,0.674,88.8
34444,0.007,0.008,0.024,0.026,0.002,0.505,67.6
34445,0.01,0.002,0.016,0.015,0.002,0.379,59.5
34446,0.007,0.011,0.019,0.021,0.002,0.467,47.8
34447,0.002,0.013,0.027,0.04,0.002,0.885,55.7
34448,0.003,0.014,0.025,0.038,0.002,0.81,64.6
34449,0.005,0.023,0.023,0.046,0.002,0.871,95.2
34450,0.012,0.006,0.012,0.017,0.002,0.429,70.3
34451,0.016,0.006,0.01,0.015,0.002,0.422,51.7
34452,0.018,0.008,0.011,0.018,0.002,0.445,41.5
34453,0.023,0.004,0.009,0.013,0.001,0.399,42.1
34454,0.029,0.006,0.012,0.018,0.001,0.43,48
34455,0.033,0.004,0.011,0.015,0.001,0.392,52.3
34456,0.037,0.001,0.009,0.009,0.001,0.321,48.9
34457,0.036,0.002,0.012,0.013,0.001,0.383,49.4
34458,0.03,0.004,0.02,0.021,0.001,0.631,51.4
34459,0.009,0.012,0.057,0.068,0.003,1.436,68.2
34460,0.002,0.035,0.07,0.105,0.004,2.146,97.7
34461,0.001,0.038,0.072,0.11,0.004,2.039,129
34462,0.001,0.05,0.069,0.118,0.004,2.272,118.3
34463,0.001,0.085,0.069,0.153,0.005,2.535,127.6
34464,0.001,0.207,0.066,0.272,0.007,4.314,162.9
34465,0.003,0.068,0.046,0.114,0.005,2.18,193.6
34466,0.007,0.004,0.034,0.036,0.003,0.918,114.1
34467,0.001,0.025,0.042,0.067,0.003,1.317,109.1
34468,0.004,0.01,0.026,0.03,0.002,0.748,107.5
34469,0.01,0.002,0.013,0.012,0.002,0.37,49.1
34470,0.01,0.002,0.014,0.015,0.002,0.406,32.2
34471,0.004,0.011,0.021,0.032,0.002,0.706,32.8
34472,0.001,0.055,0.026,0.081,0.003,1.477,97.4
34473,0.004,0.04,0.021,0.061,0.003,1.302,115.7
34474,0.01,0.017,0.014,0.031,0.002,0.848,78
34475,0.013,0.011,0.012,0.022,0.002,0.688,65.8
34476,0.017,0.012,0.012,0.023,0.002,0.713,63.9
34477,0.022,0.007,0.01,0.016,0.002,0.55,79.4
34478,0.024,0.008,0.012,0.019,0.001,0.583,86.5
34479,0.02,0.013,0.01,0.022,0.001,0.671,111.5
34480,0.02,0.008,0.01,0.017,0.001,0.566,95.1
34481,0.02,0.012,0.015,0.027,0.001,0.641,87.3
34482,0.017,0.018,0.022,0.039,0.001,0.809,123.7
34483,0.006,0.02,0.04,0.06,0.003,1.393,184.3
34484,0.002,0.115,0.051,0.165,0.005,2.608,213.5
34485,0.001,0.082,0.047,0.128,0.005,2.14,204.9
34486,0.001,0.116,0.043,0.158,0.006,2.928,145.4
34487,0.003,0.032,0.032,0.064,0.004,1.334,154.7
34488,0.01,0.003,0.015,0.017,0.002,0.49,110.7
34489,0.008,0.001,0.015,0.016,0.002,0.636,61.5
34490,0.01,0.002,0.01,0.01,0.002,0.502,45.9
34491,0.011,0.002,0.008,0.008,0.002,0.461,36.2
