,O3,NO,NO2,NOX,SO2,CO,PM10
0,0.003,0.103,0.017,0.121,0.005,3.644,90.4
1,0.002,0.111,0.016,0.128,0.005,3.439,94.1
2,0.002,0.131,0.015,0.147,0.005,3.842,89.4
3,0.002,0.105,0.014,0.121,0.005,3.245,84.5
4,0.002,0.048,0.014,0.064,0.004,1.926,57.7
5,0.002,0.012,0.011,0.023,0.003,0.648,31
6,0.002,0.003,0.008,0.01,0.003,0.332,9.3
7,0.002,0.007,0.011,0.018,0.003,0.578,8.6
8,0.002,0.007,0.009,0.017,0.002,0.541,12.5
9,0.002,0.014,0.011,0.025,0.003,0.714,14.1
10,0.002,0.009,0.011,0.021,0.003,0.614,14
11,0.003,0.007,0.01,0.018,0.003,0.502,14.3
12,0.005,0.006,0.012,0.019,0.003,0.574,20
13,0.007,0.003,0.008,0.011,0.003,0.408,14.8
14,0.006,0.003,0.009,0.013,0.003,0.495,12.5
15,0.006,0.004,0.011,0.015,0.003,0.522,11.6
16,0.006,0.003,0.012,0.016,0.003,0.573,14.5
17,0.004,0.005,0.02,0.025,0.003,0.85,23.7
18,0.003,0.01,0.025,0.035,0.003,1.06,31.1
19,0.002,0.025,0.025,0.051,0.003,1.545,29.8
20,0.002,0.046,0.023,0.069,0.003,1.926,51.4
21,0.001,0.061,0.02,0.083,0.004,2.206,48
22,0.002,0.124,0.017,0.142,0.005,3.382,55.6
23,0.001,0.089,0.014,0.104,0.004,2.103,53
24,0.001,0.093,0.012,0.106,0.004,2.057,38.6
25,0.001,0.077,0.011,0.089,0.004,1.812,34.2
26,0.001,0.058,0.01,0.068,0.004,1.355,29.7
27,0.001,0.055,0.01,0.066,0.004,1.277,22.9
28,0.001,0.021,0.012,0.033,0.004,0.652,20.9
29,0.001,0.015,0.011,0.026,0.004,0.614,11.2
30,0.001,0.044,0.009,0.054,0.004,1.465,12.3
31,0.001,0.065,0.01,0.076,0.004,1.455,24.6
32,0.001,0.099,0.009,0.109,0.005,1.979,32.8
33,0.001,0.133,0.015,0.149,0.006,2.686,37
34,0.002,0.135,0.032,0.169,0.006,3.311,48.9
35,0.004,0.039,0.032,0.072,0.005,1.677,44.1
36,0.007,0.007,0.014,0.021,0.004,0.623,26.3
37,0.01,0.005,0.012,0.017,0.004,0.516,21.5
38,0.012,0.004,0.012,0.017,0.003,0.665,14.2
39,0.013,0.004,0.011,0.016,0.004,0.609,11.7
40,0.014,0.006,0.011,0.016,0.003,0.49,7.4
41,0.012,0.004,0.013,0.017,0.003,0.527,18.3
42,0.011,0.003,0.016,0.02,0.003,0.688,18.6
43,0.004,0.022,0.03,0.053,0.004,1.382,28.4
44,0.002,0.06,0.033,0.095,0.005,2.206,51.5
45,0.002,0.118,0.03,0.15,0.006,3.061,60.7
46,0.002,0.084,0.029,0.115,0.005,2.135,75.6
47,0.004,0.009,0.022,0.031,0.004,0.722,51.6
48,0.008,0.003,0.011,0.012,0.003,0.369,27.6
49,0.009,0.002,0.007,0.006,0.002,0.309,15.1
50,0.009,0.009,0.006,0.005,0.002,0.366,11.9
51,0.007,0.002,0.007,0.006,0.002,0.326,6.8
52,0.01,0.004,0.003,0.002,0.001,0.308,6.3
53,0.009,0.004,0.003,0.002,0.001,0.309,6.4
54,0.008,0.002,0.006,0.006,0.001,0.352,7.6
55,0.005,0.003,0.011,0.013,0.002,0.495,10.8
56,0.003,0.008,0.016,0.024,0.002,0.75,14
57,0.003,0.014,0.016,0.031,0.002,0.874,17.5
58,0.005,0.011,0.012,0.023,0.002,0.676,28.1
59,0.007,0.006,0.009,0.016,0.002,0.579,21.8
60,0.01,0.005,0.008,0.014,0.002,0.565,9.7
61,0.012,0.005,0.009,0.014,0.002,0.581,10.9
62,0.014,0.003,0.009,0.013,0.002,0.574,8.4
63,0.016,0.002,0.009,0.011,0.002,0.617,13.7
64,0.017,0.002,0.01,0.012,0.002,0.611,11.5
65,0.018,0.003,0.012,0.016,0.002,0.654,18.4
66,0.015,0.002,0.018,0.02,0.002,0.71,21.3
67,0.004,0.026,0.033,0.06,0.003,1.602,36
68,0.002,0.078,0.033,0.112,0.004,2.779,55.2
69,0.002,0.198,0.032,0.233,0.006,4.904,87.6
70,0.002,0.173,0.031,0.207,0.005,3.563,95.5
71,0.002,0.152,0.028,0.181,0.005,3.048,74.1
72,0.001,0.137,0.023,0.162,0.004,2.584,63.8
73,0.001,0.115,0.019,0.136,0.005,2.115,62.7
74,0.001,0.092,0.017,0.11,0.005,1.811,42.8
75,0.001,0.089,0.015,0.105,0.005,1.648,30.6
76,0.001,0.068,0.015,0.085,0.004,1.406,28.2
77,0.001,0.07,0.014,0.085,0.004,1.399,26.9
78,0.001,0.085,0.012,0.099,0.004,1.868,25.4
79,0.001,0.12,0.012,0.133,0.005,2.182,35.6
80,0.001,0.127,0.013,0.142,0.005,2.343,41.7
81,0.001,0.15,0.021,0.173,0.006,3.41,53.2
82,0.002,0.104,0.04,0.146,0.006,2.668,65
83,0.004,0.05,0.049,0.1,0.005,1.941,67.3
84,0.009,0.02,0.05,0.071,0.004,1.608,60.3
85,0.017,0.007,0.043,0.051,0.004,1.294,59.1
86,0.022,0.006,0.038,0.045,0.004,1.206,47.2
87,0.014,0.003,0.012,0.015,0.003,0.38,21.8
88,0.012,0.003,0.01,0.014,0.003,0.4,5.2
89,0.012,0.003,0.009,0.013,0.003,0.382,6
90,0.01,0.005,0.012,0.017,0.003,0.465,10.3
91,0.004,0.038,0.026,0.065,0.004,1.839,16.3
92,0.002,0.117,0.028,0.146,0.006,3.656,49.1
93,0.001,0.106,0.024,0.132,0.006,2.523,54.8
94,0.001,0.056,0.024,0.081,0.004,1.438,41.9
95,0.001,0.03,0.027,0.058,0.004,1.276,28.8
96,0.002,0.019,0.023,0.043,0.004,1.031,24.4
97,0.002,0.011,0.02,0.031,0.003,0.757,22.3
98,0.001,0.026,0.02,0.046,0.004,1.074,17.2
99,0.001,0.044,0.019,0.064,0.004,1.429,17.5
100,0.001,0.08,0.017,0.098,0.005,2.244,16.4
101,0.001,0.087,0.015,0.103,0.005,2.265,21.7
102,0.001,0.089,0.012,0.103,0.005,2.397,21.5
103,0.002,0.094,0.012,0.107,0.005,2.259,20.3
104,0.001,0.084,0.012,0.097,0.005,1.802,29
105,0.001,0.111,0.018,0.13,0.006,2.609,34.4
106,0.002,0.1,0.035,0.137,0.006,2.264,51.7
107,0.005,0.031,0.035,0.067,0.005,1.363,48.1
108,0.009,0.011,0.029,0.041,0.004,1.097,40.1
109,0.013,0.005,0.021,0.026,0.004,0.735,28.6
110,0.014,0.004,0.011,0.015,0.004,0.555,16.2
111,0.013,0.002,0.007,0.01,0.003,0.377,9.9
112,0.013,0.003,0.008,0.012,0.003,0.4,6.7
113,0.012,0.004,0.009,0.013,0.003,0.441,14.7
114,0.01,0.004,0.012,0.016,0.003,0.548,13.7
115,0.005,0.007,0.02,0.028,0.004,0.671,16.2
116,0.002,0.039,0.029,0.07,0.005,1.753,30.3
117,0.001,0.063,0.027,0.092,0.005,2.009,45.8
118,0.001,0.097,0.025,0.124,0.005,2.655,51.9
119,0.001,0.071,0.024,0.097,0.005,1.927,46.2
120,0.001,0.063,0.022,0.086,0.005,1.634,34.5
121,0.001,0.062,0.02,0.084,0.004,1.546,19.9
122,0.001,0.035,0.02,0.055,0.003,0.935,20.3
123,0.001,0.031,0.018,0.05,0.003,0.885,12.5
124,0.001,0.032,0.015,0.048,0.003,0.876,16.3
125,0.001,0.035,0.014,0.049,0.003,0.907,16.3
126,0.001,0.05,0.016,0.067,0.003,1.307,20.8
127,0.001,0.063,0.019,0.084,0.003,1.546,38.6
128,0.001,0.154,0.019,0.174,0.005,3.258,48
129,0.001,0.202,0.021,0.225,0.006,4.056,80.1
130,0.002,0.129,0.03,0.16,0.005,2.897,94.5
131,0.003,0.043,0.033,0.077,0.003,1.645,74.5
132,0.006,0.013,0.025,0.038,0.003,0.926,47.2
133,0.007,0.01,0.026,0.037,0.003,1.046,35.7
134,0.009,0.009,0.033,0.043,0.003,1.151,37.4
135,0.008,0.008,0.024,0.033,0.003,0.886,40.4
136,0.004,0.012,0.025,0.038,0.003,0.923,40.1
137,0.004,0.012,0.024,0.036,0.002,0.998,36.4
138,0.003,0.013,0.027,0.041,0.003,0.997,35.2
139,0.002,0.04,0.03,0.072,0.003,1.753,37.7
140,0.002,0.065,0.03,0.096,0.004,2.497,52.5
141,0.001,0.139,0.029,0.169,0.005,3.667,60.7
142,0.002,0.253,0.028,0.283,0.007,5.507,78.8
143,0.002,0.264,0.026,0.293,0.008,5.121,85.5
144,0.002,0.263,0.025,0.29,0.007,5.199,73.7
145,0.001,0.079,0.025,0.106,0.004,1.736,77.4
146,0.002,0.024,0.021,0.046,0.003,0.936,47.1
147,0.004,0.004,0.013,0.014,0.002,0.296,19.1
148,0.005,0.001,0.01,0.01,0.002,0.229,15.9
149,0.005,0.003,0.01,0.011,0.002,0.226,12.9
150,0.002,0.006,0.016,0.022,0.002,0.397,14.9
151,0.002,0.015,0.017,0.032,0.002,0.66,27.5
152,0.001,0.034,0.019,0.054,0.003,1.103,36.1
153,0.003,0.019,0.015,0.035,0.003,0.734,39.4
154,0.003,0.015,0.014,0.03,0.003,0.676,30.4
155,0.006,0.008,0.011,0.02,0.003,0.432,26.6
156,0.01,0.005,0.011,0.017,0.003,0.487,19.7
157,0.014,0.003,0.011,0.014,0.003,0.383,21.4
158,0.019,0.002,0.012,0.015,0.003,0.414,21.3
159,0.023,0.002,0.016,0.019,0.003,0.461,23
160,0.021,0.003,0.022,0.026,0.003,0.557,35.5
161,0.019,0.002,0.025,0.027,0.003,0.668,38.4
162,0.017,0.004,0.025,0.03,0.003,0.703,36.3
163,0.004,0.033,0.037,0.07,0.003,1.515,37.6
164,0.001,0.112,0.035,0.149,0.005,3.211,55.3
165,0.002,0.176,0.029,0.207,0.006,3.655,65.6
166,0.002,0.155,0.027,0.184,0.006,2.81,60
167,0.001,0.099,0.027,0.128,0.005,2.201,57.1
168,0.001,0.112,0.024,0.137,0.005,2.387,37.1
169,0.001,0.119,0.022,0.142,0.005,2.277,45.8
170,0.001,0.064,0.019,0.084,0.003,1.273,42.2
171,0.001,0.038,0.018,0.056,0.003,1.048,25.8
172,0.001,0.033,0.016,0.05,0.003,0.896,17.5
173,0.001,0.023,0.015,0.039,0.003,0.683,15.3
174,0.001,0.043,0.015,0.058,0.003,1.479,16.6
175,0.001,0.088,0.016,0.105,0.004,2.064,16.9
176,0.001,0.179,0.015,0.195,0.006,3.209,40.9
177,0.001,0.214,0.024,0.239,0.007,4.13,62.8
178,0.002,0.133,0.043,0.178,0.006,3.081,84.2
179,0.004,0.045,0.044,0.091,0.004,1.686,73.8
180,0.01,0.01,0.028,0.038,0.003,0.865,51.5
181,0.017,0.004,0.022,0.026,0.003,0.688,29.6
182,0.023,0.004,0.027,0.032,0.003,0.872,26.5
183,0.022,0.003,0.02,0.023,0.003,0.542,30.8
184,0.015,0.003,0.012,0.015,0.002,0.379,22.6
185,0.011,0.006,0.011,0.018,0.002,0.453,16.2
186,0.009,0.006,0.014,0.02,0.002,0.475,13.3
187,0.003,0.036,0.028,0.065,0.003,1.47,17.2
188,0.002,0.106,0.032,0.141,0.005,3.012,49.1
189,0.001,0.15,0.03,0.182,0.006,3.409,65.1
190,0.001,0.114,0.029,0.145,0.005,2.348,66.8
191,0.001,0.133,0.027,0.161,0.005,2.684,57.8
192,0.001,0.142,0.024,0.167,0.005,3.022,47.2
193,0.002,0.09,0.022,0.114,0.004,1.721,45.4
194,0.001,0.059,0.02,0.08,0.004,1.362,29
195,0.001,0.047,0.019,0.066,0.003,1.146,20.7
196,0.001,0.033,0.016,0.05,0.003,0.996,18.2
197,0.001,0.023,0.016,0.039,0.003,0.861,18.7
198,0.001,0.046,0.015,0.062,0.003,1.316,19.4
199,0.002,0.126,0.014,0.141,0.004,2.73,33.3
200,0.001,0.195,0.016,0.212,0.006,3.944,49.5
201,0.001,0.19,0.022,0.214,0.006,3.403,61.1
202,0.002,0.116,0.038,0.156,0.005,2.767,71.1
203,0.004,0.046,0.043,0.09,0.004,1.848,71.7
204,0.009,0.015,0.036,0.052,0.003,1.213,60.5
205,0.014,0.009,0.028,0.038,0.003,0.864,45.2
206,0.016,0.006,0.018,0.025,0.003,0.658,25.7
207,0.018,0.004,0.014,0.019,0.003,0.494,16.6
208,0.016,0.004,0.01,0.014,0.002,0.444,17.6
209,0.016,0.002,0.008,0.01,0.002,0.409,18.4
210,0.013,0.004,0.011,0.016,0.002,0.445,13.8
211,0.005,0.033,0.026,0.06,0.003,1.571,16.7
212,0.002,0.085,0.03,0.116,0.005,2.258,32.9
213,0.002,0.075,0.029,0.105,0.004,2.011,38.1
214,0.001,0.078,0.026,0.105,0.004,2.15,33.5
215,0.002,0.106,0.024,0.132,0.005,2.172,37.5
216,0.001,0.041,0.025,0.067,0.003,1.11,27.8
217,0.002,0.08,0.02,0.101,0.005,1.476,24.6
218,0.002,0.089,0.017,0.108,0.005,1.523,19.5
219,0.001,0.05,0.017,0.068,0.005,1.062,17.9
220,0.001,0.031,0.017,0.049,0.005,0.993,14.6
221,0.001,0.039,0.016,0.056,0.005,1.098,10.8
222,0.001,0.058,0.016,0.075,0.005,1.703,23.1
223,0.001,0.09,0.016,0.107,0.005,1.781,26.2
224,0.001,0.235,0.018,0.255,0.009,4.899,52.9
225,0.002,0.274,0.026,0.303,0.01,5.374,90
226,0.002,0.18,0.048,0.23,0.009,3.611,94.8
227,0.005,0.032,0.027,0.06,0.005,0.99,71.4
228,0.01,0.01,0.023,0.033,0.004,0.925,32.3
229,0.014,0.007,0.027,0.034,0.004,0.844,19.4
230,0.027,0.005,0.037,0.042,0.005,0.989,39.2
231,0.025,0.003,0.033,0.036,0.004,0.808,44
232,0.015,0.004,0.014,0.019,0.004,0.483,35.4
233,0.011,0.005,0.009,0.014,0.004,0.38,15.8
234,0.007,0.008,0.013,0.022,0.004,0.574,18.1
235,0.005,0.01,0.018,0.028,0.004,0.879,14.7
236,0.002,0.059,0.026,0.087,0.005,2.506,25.4
237,0.002,0.132,0.028,0.161,0.007,4.009,50.2
238,0.001,0.101,0.027,0.13,0.006,2.101,56.6
239,0.001,0.081,0.026,0.108,0.006,1.799,41.6
240,0.001,0.107,0.024,0.133,0.006,2.355,43
241,0.001,0.102,0.024,0.127,0.005,2.191,38.5
242,0.001,0.073,0.023,0.098,0.004,1.454,38.4
243,0.001,0.047,0.022,0.07,0.004,1.141,29.1
244,0.001,0.071,0.021,0.093,0.004,1.5,23.6
245,0.001,0.07,0.023,0.094,0.005,1.514,34.2
246,0.001,0.029,0.022,0.052,0.004,0.846,29.1
247,0.001,0.065,0.021,0.087,0.004,1.449,23.7
248,0.001,0.09,0.021,0.112,0.005,1.926,38.1
249,0.001,0.061,0.019,0.081,0.004,1.56,27
250,0.002,0.058,0.021,0.08,0.004,1.664,31.5
251,0.002,0.029,0.02,0.05,0.004,1.096,26.4
252,0.002,0.042,0.026,0.07,0.004,1.572,25.3
253,0.003,0.038,0.025,0.064,0.004,1.555,32.4
254,0.006,0.008,0.014,0.023,0.003,0.602,18.6
255,0.006,0.005,0.011,0.017,0.003,0.507,10.1
256,0.007,0.004,0.01,0.015,0.003,0.494,10.1
257,0.007,0.004,0.011,0.015,0.003,0.421,9.7
258,0.006,0.006,0.011,0.018,0.003,0.42,13.1
259,0.003,0.012,0.017,0.029,0.003,0.725,15.4
260,0.003,0.011,0.018,0.029,0.003,0.647,17.3
261,0.002,0.025,0.021,0.047,0.003,1.012,14
262,0.002,0.02,0.021,0.042,0.003,0.867,19.4
263,0.001,0.055,0.022,0.077,0.004,2.274,23
264,0.001,0.12,0.018,0.14,0.005,3.028,29.4
265,0.001,0.151,0.018,0.17,0.006,3.388,29.4
266,0.001,0.149,0.015,0.166,0.006,3.004,34.7
267,0.001,0.137,0.014,0.152,0.006,2.822,36.1
268,0.001,0.076,0.017,0.095,0.005,1.667,36.4
269,0.001,0.011,0.017,0.028,0.003,0.689,22
270,0.001,0.021,0.016,0.038,0.003,1.118,15.2
271,0.001,0.038,0.018,0.056,0.004,1.332,17.6
272,0.001,0.061,0.016,0.079,0.004,1.468,21
273,0.001,0.07,0.018,0.089,0.004,1.772,23
274,0.002,0.049,0.021,0.071,0.004,1.581,30.2
275,0.003,0.03,0.022,0.053,0.004,1.179,30.5
276,0.006,0.017,0.028,0.045,0.004,1.085,30.9
277,0.01,0.007,0.024,0.031,0.003,0.817,23.4
278,0.013,0.005,0.032,0.037,0.004,0.907,18.9
279,0.012,0.004,0.03,0.035,0.004,0.898,25.5
280,0.008,0.005,0.022,0.027,0.003,0.703,29.1
281,0.005,0.007,0.018,0.026,0.003,0.748,21.5
282,0.003,0.009,0.019,0.028,0.003,0.833,10.4
283,0.002,0.011,0.02,0.032,0.003,0.842,14.9
284,0.001,0.04,0.022,0.063,0.003,1.632,10.6
285,0.003,0.075,0.021,0.098,0.004,3.103,16.3
286,0.001,0.095,0.02,0.117,0.005,2.683,10.5
287,0.001,0.068,0.019,0.088,0.004,1.866,7.6
288,0.001,0.076,0.016,0.093,0.004,1.83,19
289,0.001,0.061,0.014,0.076,0.004,1.59,13.2
290,0.001,0.069,0.012,0.082,0.004,1.862,15.2
291,0.001,0.058,0.01,0.069,0.004,1.162,12.5
292,0.001,0.053,0.01,0.064,0.003,1.257,18.4
293,0.001,0.046,0.009,0.055,0.003,1.121,14.6
294,0.001,0.039,0.01,0.05,0.003,0.867,8.2
295,0.001,0.068,0.011,0.08,0.003,1.295,5.3
296,0.001,0.208,0.011,0.221,0.006,3.942,18.1
297,0.001,0.189,0.018,0.208,0.006,3.917,43.7
298,0.002,0.082,0.021,0.105,0.004,2.06,35.6
299,0.003,0.024,0.016,0.04,0.003,0.928,24.4
300,0.007,0.006,0.013,0.019,0.003,0.525,15.2
301,0.012,0.004,0.013,0.018,0.003,0.431,25
302,0.017,0.004,0.016,0.02,0.003,0.721,10.8
303,0.017,0.002,0.01,0.013,0.003,0.466,12.3
304,0.012,0.005,0.01,0.016,0.003,0.676,18.8
305,0.01,0.006,0.012,0.018,0.003,0.595,15
306,0.01,0.006,0.012,0.018,0.003,0.519,11.2
307,0.004,0.029,0.026,0.056,0.003,1.131,12.1
308,0.002,0.18,0.032,0.214,0.008,5.364,53.7
309,0.002,0.192,0.029,0.223,0.007,4.284,85.9
310,0.001,0.162,0.028,0.192,0.006,3.223,70.6
311,0.002,0.181,0.025,0.208,0.006,3.225,77.2
312,0.001,0.12,0.023,0.145,0.006,2.118,67.6
313,0.001,0.118,0.019,0.139,0.005,2.081,43.7
314,0.002,0.044,0.017,0.062,0.003,0.898,33.2
315,0.008,0.001,0.009,0.009,0.002,0.297,11.5
316,0.006,0.004,0.016,0.019,0.002,0.525,3.9
317,0.003,0.007,0.02,0.028,0.003,0.635,7.1
318,0.002,0.023,0.022,0.046,0.003,1.005,17.3
319,0.001,0.097,0.023,0.121,0.004,2.151,34.5
320,0.001,0.134,0.024,0.16,0.005,2.989,48.1
321,0.002,0.193,0.026,0.221,0.007,3.937,79.3
322,0.002,0.065,0.027,0.093,0.004,1.743,56.3
323,0.005,0.022,0.022,0.045,0.003,0.893,39.5
324,0.01,0.006,0.014,0.021,0.002,0.495,23.3
325,0.013,0.005,0.012,0.018,0.003,0.488,11.2
326,0.02,0.004,0.013,0.017,0.003,0.461,14.8
327,0.026,0.003,0.014,0.017,0.003,0.54,21.5
328,0.026,0.001,0.013,0.015,0.003,0.438,11.7
329,0.021,0.001,0.011,0.013,0.003,0.376,25.4
330,0.014,0.002,0.014,0.016,0.003,0.414,22.9
331,0.009,0.004,0.023,0.027,0.003,0.645,31
332,0.002,0.052,0.036,0.09,0.005,2.011,31.3
333,0.002,0.129,0.035,0.166,0.006,3.164,56.7
334,0.001,0.131,0.032,0.165,0.006,2.687,64.5
335,0.001,0.11,0.029,0.141,0.005,2.117,56.2
336,0.001,0.08,0.027,0.109,0.004,1.783,43
337,0.002,0.109,0.024,0.135,0.005,2.072,45.1
338,0.001,0.071,0.024,0.097,0.004,1.365,46.1
339,0.002,0.06,0.022,0.083,0.004,1.24,36.2
340,0.007,0.008,0.013,0.021,0.003,0.384,23.5
341,0.014,0.017,0.005,0.004,0.003,0.239,9.3
342,0.015,0.005,0.007,0.007,0.003,0.3,10.6
343,0.008,0.005,0.016,0.022,0.003,0.564,16.1
344,0.009,0.004,0.014,0.019,0.003,0.513,24.9
345,0.007,0.009,0.017,0.027,0.003,0.706,25.3
346,0.009,0.006,0.013,0.02,0.003,0.643,25.7
347,0.012,0.004,0.01,0.014,0.003,0.479,23.3
348,0.015,0.004,0.01,0.014,0.003,0.437,18.7
349,0.015,0.004,0.011,0.016,0.003,0.478,15.3
350,0.018,0.004,0.011,0.014,0.003,0.421,16.9
351,0.021,0.015,0.008,0.01,0.003,0.356,15.9
352,0.019,0.002,0.011,0.013,0.003,0.366,16.3
353,0.019,0.003,0.011,0.013,0.003,0.423,21.1
354,0.018,0.002,0.015,0.017,0.003,0.492,24
355,0.009,0.01,0.031,0.041,0.003,1.079,32
356,0.002,0.046,0.042,0.089,0.004,1.927,46.2
357,0.004,0.031,0.034,0.067,0.004,1.326,55.6
358,0.012,0.01,0.016,0.018,0.003,0.474,31.2
359,0.014,0.012,0.013,0.014,0.003,0.432,24.6
360,0.007,0.01,0.022,0.024,0.003,0.636,19.7
361,0.007,0.03,0.018,0.018,0.003,0.502,12.5
362,0.011,0.025,0.011,0.009,0.002,0.404,11.5
363,0.013,0.03,0.008,0.007,0.002,0.395,11.8
364,0.009,0.028,0.013,0.013,0.002,0.481,15.4
365,0.009,0.011,0.012,0.011,0.002,0.425,14.9
366,0.003,0.025,0.019,0.042,0.003,0.985,14.2
367,0.001,0.051,0.025,0.078,0.004,1.376,29.5
368,0.001,0.08,0.027,0.108,0.004,2.107,40.2
369,0.002,0.119,0.027,0.148,0.005,2.699,49.4
370,0.002,0.064,0.033,0.098,0.005,2.126,54
371,0.005,0.035,0.034,0.07,0.004,1.518,44.3
372,0.009,0.015,0.029,0.045,0.003,0.977,37.8
373,0.017,0.005,0.019,0.025,0.003,0.69,28.9
374,0.022,0.005,0.018,0.024,0.003,0.715,24.7
375,0.027,0.005,0.021,0.027,0.003,0.849,26.4
376,0.031,0.014,0.02,0.023,0.003,0.701,29.9
377,0.027,0.005,0.021,0.024,0.003,0.647,34.1
378,0.013,0.002,0.015,0.018,0.002,0.437,34.2
379,0.006,0.01,0.027,0.038,0.003,0.904,36.2
380,0.002,0.047,0.039,0.087,0.004,1.862,50.9
381,0.002,0.12,0.036,0.157,0.006,3.056,81.7
382,0.001,0.095,0.036,0.132,0.005,2.058,83
383,0.001,0.056,0.035,0.092,0.004,1.4,54.2
384,0.001,0.05,0.033,0.085,0.004,1.526,39.3
385,0.001,0.037,0.031,0.07,0.004,1.385,41.2
386,0.001,0.037,0.031,0.069,0.003,1.19,39.6
387,0.001,0.008,0.03,0.039,0.003,0.727,28.4
388,0.001,0.015,0.027,0.043,0.003,0.941,20.6
389,0.001,0.028,0.024,0.052,0.003,0.977,19.8
390,0.001,0.063,0.021,0.085,0.003,1.584,27.3
391,0.001,0.094,0.02,0.116,0.004,2.01,38.7
392,0.001,0.185,0.023,0.21,0.006,4.095,54.7
393,0.001,0.29,0.031,0.324,0.009,5.783,93
394,0.003,0.074,0.029,0.105,0.004,1.765,87.2
395,0.008,0.008,0.017,0.025,0.003,0.623,41.9
396,0.013,0.004,0.015,0.02,0.003,0.57,30
397,0.02,0.004,0.021,0.025,0.002,0.755,26.8
398,0.021,0.005,0.013,0.018,0.002,0.574,17.9
399,0.024,0.007,0.012,0.016,0.002,0.552,15.1
400,0.025,0.003,0.013,0.017,0.002,0.595,19.6
401,0.025,0.004,0.014,0.017,0.002,0.634,20.2
402,0.023,0.003,0.018,0.021,0.002,0.683,27.3
403,0.01,0.012,0.041,0.054,0.003,1.522,33.1
404,0.002,0.054,0.056,0.112,0.004,2.651,51.5
405,0.002,0.195,0.054,0.252,0.007,5.828,72.6
406,0.001,0.234,0.05,0.287,0.008,4.796,113.2
407,0.001,0.156,0.048,0.206,0.006,3.197,110.5
408,0.001,0.108,0.041,0.15,0.005,2.45,73.2
409,0.002,0.1,0.037,0.139,0.005,2.281,51
410,0.001,0.049,0.037,0.087,0.004,1.606,48.8
411,0.001,0.04,0.034,0.075,0.004,1.528,45.5
412,0.001,0.079,0.03,0.111,0.004,2.155,42.2
413,0.001,0.097,0.028,0.127,0.005,2.233,45.3
414,0.001,0.113,0.026,0.141,0.005,2.936,49
415,0.001,0.148,0.023,0.173,0.005,2.992,49.9
416,0.001,0.18,0.022,0.203,0.006,3.26,57.1
417,0.001,0.167,0.029,0.198,0.006,3.241,70.6
418,0.003,0.06,0.033,0.095,0.004,1.818,58.6
419,0.005,0.02,0.025,0.045,0.003,1.095,50.4
420,0.011,0.007,0.014,0.019,0.003,0.582,30.7
421,0.016,0.005,0.015,0.021,0.003,0.604,21.1
422,0.022,0.004,0.017,0.022,0.004,0.783,23.3
423,0.026,0.002,0.019,0.022,0.004,0.643,28.7
424,0.03,0.01,0.02,0.024,0.004,0.873,34.2
425,0.03,0.005,0.021,0.023,0.004,0.665,34.2
426,0.027,0.009,0.027,0.029,0.003,0.809,40.2
427,0.008,0.011,0.058,0.07,0.004,1.615,46.9
428,0.002,0.072,0.078,0.149,0.003,3.713,27.4
429,0.002,0.147,0.063,0.211,0.007,4.045,80.3
430,0.001,0.137,0.06,0.199,0.006,3.521,101.5
431,0.001,0.09,0.057,0.149,0.005,2.603,78.3
432,0.001,0.082,0.052,0.136,0.004,2.278,66.1
433,0.001,0.125,0.044,0.171,0.005,3.27,73.9
434,0.001,0.094,0.043,0.139,0.005,2.286,70.7
435,0.001,0.092,0.04,0.133,0.005,2.302,52.4
436,0.001,0.095,0.036,0.132,0.005,2.132,50.6
437,0.001,0.076,0.034,0.111,0.005,1.916,47.5
438,0.001,0.064,0.033,0.099,0.005,2.006,41.8
439,0.001,0.066,0.031,0.099,0.005,1.824,44.9
440,0.001,0.114,0.031,0.147,0.005,3.03,50.5
441,0.001,0.176,0.035,0.213,0.007,4.284,72.7
442,0.003,0.055,0.046,0.102,0.005,2.005,72
443,0.007,0.022,0.044,0.067,0.004,1.368,51.5
444,0.015,0.005,0.023,0.028,0.003,0.853,36.4
445,0.02,0.004,0.02,0.024,0.003,0.895,29.2
446,0.03,0.001,0.016,0.018,0.003,0.697,29.1
447,0.03,0.001,0.015,0.017,0.003,0.555,33.8
448,0.032,0,0.014,0.014,0.003,0.541,33.2
449,0.032,0.001,0.014,0.015,0.004,0.544,29.3
450,0.027,0,0.019,0.019,0.004,0.59,30.1
451,0.016,0.005,0.034,0.038,0.004,1.057,42.4
452,0.003,0.047,0.051,0.099,0.005,2.366,65.4
453,0.001,0.09,0.051,0.143,0.006,3.041,83.8
454,0.001,0.084,0.047,0.133,0.006,2.656,76.3
455,0.001,0.08,0.046,0.128,0.005,2.512,65.9
456,0.001,0.068,0.042,0.112,0.005,2.163,51.7
457,0.001,0.047,0.041,0.089,0.004,1.706,54.7
458,0.001,0.053,0.037,0.091,0.004,1.802,51.9
459,0.001,0.043,0.032,0.077,0.004,1.539,49.2
460,0.001,0.035,0.03,0.066,0.003,1.561,42.5
461,0.001,0.035,0.025,0.061,0.003,1.394,39
462,0.001,0.029,0.026,0.055,0.003,1.396,35.1
463,0.001,0.053,0.027,0.081,0.004,1.816,44.6
464,0.001,0.132,0.027,0.161,0.005,3.4,48
465,0.001,0.231,0.033,0.266,0.007,5.09,88
466,0.002,0.125,0.055,0.182,0.006,3.399,87.9
467,0.007,0.026,0.038,0.065,0.004,1.28,76.3
